CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1114.141576,3.7138052533333332,31.05425566804728,6.96879379985259,35.87421398596816,224.407046633
1,576000,2139.220468,3.713924423611111,47.86270387504314,5.59394215834184,44.69120218327483,116.874762716
1,768000,2852.058045,3.7136172460937504,59.17927165085106,5.187895271177246,48.18909922660593,87.664060852
1,1017600,3778.604033,3.7132508185927673,74.62562402318257,4.937888272726144,50.62893005920084,66.168803777
1,1248000,4635.037173,3.71397209375,89.19191767723723,4.811263517013987,51.96140247066688,53.94281951
1,1324800,4920.291281,3.7139879838466183,94.42014016250002,4.797970283789422,52.1053664806258,50.815115033
1,1516800,5633.168094,3.713850272943038,106.99058450165347,4.748827761385925,52.644570947133815,44.385473577
1,1612800,5989.315062,3.7136130096726188,120.2178698736446,5.018529601222906,49.815388144583316,41.745288005
1,1708800,6345.982993,3.713707275866105,125.52446307323572,4.945671616556044,50.549251827214796,39.400061912
1,1804800,6702.233184,3.713560053191489,144.46431210604058,5.389299059644814,46.38822177674372,37.305400767
6,652800,5095.385619,7.8054314016544115,111.37695151048972,5.466510375571189,45.733014816399724,49.081163575
6,825600,6448.284756,7.810422427325581,132.17816920928763,5.126669848872479,48.76459911983275,38.786055818
6,979200,7649.00257,7.811481382761437,163.12386597448068,5.334101486730681,46.86824962402942,32.69970004
6,1113600,7085.966951,6.363116874102012,160.75607408093526,5.674352302496399,44.05789183904106,35.297902956
6,1267200,9888.849333,7.803700546875,217.61144652324006,5.505078631667231,45.41261201282545,25.297743844
6,1555200,12135.333236,7.803069210390946,296.16531818581484,6.105802427893471,40.94465927326953,20.616196607
6,1708800,13341.872131,7.807743522354869,343.38697246601356,6.439528917031872,38.822715639769314,18.75297968
6,1843200,14388.489209,7.806254996202257,386.50141707430885,6.721534479055394,37.193887910418574,17.390711087
6,1900800,14827.995255,7.800923429608586,402.90120117906065,6.799430987429964,36.76778254859449,16.876174525
6,1996800,15586.034913,7.805506266526442,450.35114611380953,7.231097865873412,34.57289676300123,16.056577025
6,2112000,16486.415194,7.806067800189394,508.2252949623834,7.715219014813282,32.403487123307585,15.180706453
6,2208000,17234.247897,7.805365895380436,579.6755746550351,8.418469288608096,29.696610087810257,14.522725567
6,2323200,17980.437284,7.739513293732783,627.0155192925637,8.727901393985118,28.64376998716884,13.91975338
